Cnpj,Nome
00309024,CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE
14190547,CAMBIONET CORRETORA DE CÂMBIO LTDA.
03918382,AGENCIA DE FOMENTO DE GOIAS S/A
51014223,SANTANDER CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS S.A.
14388334,PARANÁ BANCO S.A.
00803287,COOPERATIVA DE CRÉDITO CREDIVAZ LTDA. - SICOOB CREDIVAZ
34831910,BULLLA SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
34831910,BULLLA SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
07853842,COOPERATIVA DE CRÉDITO RURAL DE OURO   SULCREDI/OURO
03844699,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE VITORIA - CREDESTIVA.
97259253,COOPERATIVA DE ECONOMIA E CREDITO MÚTUO DOS MÉDICOS DO PLANALTO MÉDIO DO RIO GRANDE DO SUL LTDA - CREDIPLAN
21130869,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA COOPEDER LTDA - COOPCREDER
01330387,COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CENTRO OESTE DO PARANÁ - CREHNOR LARANJEIRAS
00141155,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DAS EMPRESAS DE TRANSPORTES COLETIVOS RODOVIÁRIOS DE PASSAGEIROS DO GRANDE RIO LTDA
27171974,COOPERÁGUIA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO ÁGUIA BRANCA
90278987,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DA ASCAR/EMATER-RS LTDA-CRESAL
33775974,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES"
02992446,BANCO CNH INDUSTRIAL CAPITAL S.A.
30183111,TURMA CORRETORA DE CÂMBIO LTDA
26408161,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS"
07252614,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA CONFIANÇA - CRESOL CONFIANÇA
50657675,SLW CORRETORA DE VALORES E CÂMBIO LTDA.
02814832,COOPERATIVA DE CRÉDITO COOPHARMA
02801938,BANCO MORGAN STANLEY S.A.
62931522,CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP
18394228,CDC SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESADE PEQUENO PORTE LTDA.
01288797,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ASTRAZENECA DO BRASIL
37679449,"MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
01848322,"UNIPRIME DO IGUAÇU - COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO"
08253539,COOPERATIVA DE CRÉDITO RURAL DE SÃO MIGUEL DO OESTE - SULCREDI/SÃO MIGUEL
94968518,EFX CORRETORA DE CÂMBIO LTDA.
26225776,"CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
00913314,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MAGNESITA REFRATÁRIOS S.A. LTDA. - CECREM
38593706,MULTICRED SOCIEDADE DE CRÉDITO DIRETO S.A.
38593706,MULTICRED SOCIEDADE DE CRÉDITO DIRETO S.A.
44905255,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO LORENZETTI
08609934,MONEYCORP BANCO DE CÂMBIO S.A.
44958981,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA CIA AÇUCAREIRA VALE DO ROSÁRIO - COOPERVALE
01705236,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED REGIÃO DA CAMPANHA LTDA - UNICRED REGIÃO DA CAMPANHA
08482873,COOPERATIVA DE CRÉDITO RURAL DO AGRESTE ALAGOANO - COOPERAGRE
07469260,COOPERATIVA DE CRÉDITO CREDIFIEMG LTDA. - SICOOB CREDIFIEMG
60394079,BANCO ITAUBANK S.A.
18287740,CONECTA CORRETORA DE CÂMBIO LTDA.
40083667,CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.
40083667,CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.
27842177,"IB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A."
01060307,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA.   SICOOB UNIÃO
